4.74,4830,2.61,1.29,-0.34,2,19.4,326.03,0.23
5.02,4255,1.8,1.54,-0.13,3.4,10.5,516.22,0.08
5.22,4709,2.44,0.83,-0.29,2.38,5.33,185.84,0
6.67,5311,4.42,2.77,0.43,0.95,4.64,1773.4,0.37
6.2,5772,4.4,1.68,0.08,1,1.68,799.5,0.69
5.52,5076,3.08,2.6,0,2.33,10.3,993.3,0.08
12.4,4400,4,3.9,-0.85,,20,3725,
7.38,5069,3.4,1.33,-0.01,1.81,1.99,452.8,0.09
7.38,5069,3.4,2.08,-0.01,1.81,0.86,883,0.29
7.1,6284,4.35,1,0.12,1.22,9.88,335.1,0.29
6.11,6557,4.19,1.82,0.07,,4.51,825.9,0.03
5.79,4531,2.32,0.87,-0.19,2.51,7.1,269.3,0.43
4.83,4452,2.09,1.19,-0.41,2.77,3.88,479.1,0.38
5.1,5954,4.44,2.1,0.06,1.04,2.53,1078,0.03
5.1,5954,4.44,3.6,0.06,1.04,0.54,2391,0.1
5.1,5954,4.44,11.6,0.06,1.04,1.64,14002,0.16
5.49,5804,4.42,0.05,0.2,1.04,0.47,4.23,0.01
5.95,5279,4.37,0.11,0.33,0.93,0.8,14.65,0.02
5.95,5279,4.37,0.24,0.33,0.93,0.17,44.34,0.05
5.95,5279,4.37,5.76,0.33,0.93,4.8,5218,0.03
5.95,5279,4.37,0.02,0.33,0.93,,0.74,0.06
5.95,5279,4.37,0.78,0.33,0.93,0.14,260.7,0
5.86,5022,3.15,2.2,-0.1,1.6,69,899,0.13
4.74,5577,4.34,0.05,0.01,0.94,0.02,4.22,0.12
4.74,5577,4.34,0.22,0.01,0.94,0.06,38.02,0.14
4.74,5577,4.34,0.48,0.01,0.94,0.07,123.01,0.35
3.96,4761,3.11,1.93,0.21,1.34,2.46,796,0.22
5,5560,4.07,0.48,-0.06,1.03,6.6,116.67,0.43
5.36,4904,2.87,2.1,0.02,2.15,3,691.9,
6.83,4847,2.57,0.49,-0.03,2.39,1.5,93.4,0.06
5.65,4845,2.45,2.5,-0.07,1.74,5.3,952.7,0.21
4.21,4681,2.65,0.7,0,1.32,3.2,181.4,0.03
0.85,4055,1.2,1.46,-0.27,4.56,6.47,628.96,0.1
2.01,4513,2.49,1.2,-0.16,1.33,1.8,380.8,0.25
12.4,4300,3.5,0.16,0,,19.25,24.84,0.35
9.63,4864,4.26,0.78,0.17,0.82,1.47,268.94,0.29
10.3,4649,2.61,0.58,-0.22,2.07,1.06,153.22,0
9.19,4796,2.8,0.54,0.28,1.1,1.11,137.48,0.26
9.75,4259,1.77,1.45,-0.79,1.06,21.42,379.63,0.15
9.75,4259,1.77,2.01,-0.79,1.06,12.47,621.99,0.18
9.36,4391,2.03,1.3,-0.32,1.17,4.2,578.2,
11,5766,4.5,0.24,-0.15,1,0.05,41.69,0
9.74,5077,4.67,0.5,-0.11,0.81,53,145.08,0.5
9.76,4748,4.3,1.19,0.02,0.82,26,536.78,0.27
9.14,4658,2.62,1,-0.09,1.19,0.91,392.6,0.2
9.38,5015,2.87,4.2,-0.01,2.01,1.6,2590,0.35
6.69,4324,4.74,0.04,-0.14,0.61,0.03,3.87,0
6.69,4324,4.74,0.44,-0.14,0.61,0.17,125.94,0
6.69,4324,4.74,1.06,-0.14,0.61,0.09,500,0.04
9.86,4648,4.33,0.06,0,0.74,0.05,5.6,0.15
9.86,4648,4.33,0.68,0,0.74,0.33,237.6,0.19
10.08,5325,4.36,0.05,0.35,0.96,0.46,3.49,0.01
10.02,4475,4.1,2.28,-0.48,0.72,0.53,1667,0.05
9.62,4665,4.19,1.34,0.01,0.76,5.1,655.6,0.54
3.5,4092,1.4,1.7,-0.29,1.7,7.8,605.2,0.08
2.08,4126,1.5,1.4,-0.27,1.4,6.1,522.3,0.19
13,4050,,,-0.85,,12.31,9,
13.6,6397,4.66,0.03,0.03,1.13,1.03,1.51,0
15.22,5025,4.47,0.11,0.06,0.8,2.75,13.24,0.53
12.94,6343,4.27,0.04,0.04,1.56,2.33,2.99,0
15.52,5715,4.66,0.04,0.17,0.97,0.92,2.83,0.07
15.04,5945,4.26,0.05,0.01,1.09,1.31,4.04,0
16.03,6035,4.34,0.03,0.05,1.13,7.6,1.51,0
,6260,4.1,0.05,-0.29,1.24,63.4,3.06,0
15.64,5650,4.36,0.06,0.19,1.1,0.54,5.35,0.33
15.46,5740,4.04,0.05,0,1.04,2.43,3.77,0
14.99,5440,4.44,0.03,-0.1,0.86,3.47,1.9,0.08
14.78,6090,4.12,0.05,-0.02,1.18,1.11,3.9,0.05
12.57,5697,4.73,0.03,-0.09,0.89,3.31,1.74,0
14.66,5880,4.23,0.09,0.14,1.11,4.24,9.24,0.56
16,6200,3.7,0.04,0,1.39,2.26,2.72,0
11.93,5939,4.3,0.09,0.17,1.19,,9.76,0.08
15.63,5900,4.01,0.05,0.05,1.12,2.8,3.63,0.16
,4950,4.55,0.06,0.3,0.87,0.02,5.11,0
,4950,4.55,0.1,0.3,0.87,0.09,11.76,0
15,6040,4.28,0.06,-0.01,1.09,0.27,4.86,
15.76,5590,4.1,0.05,0.01,1.09,0.52,4.2,0
